metric,value
public_run,SRR29417746
project_accession,PRJNA1124135
reference,Waus8730.v1
counting_method,STARsolo
reads_processed,446999681
filtered_cells,2718
waus8730_genes_in_filtered_matrix,15080
nonzero_matrix_entries,4268225
reads_mapped_to_genome_unique_plus_multiple,0.945048
reads_mapped_to_genome_unique,0.48047
reads_mapped_to_gene_unique,0.382865
median_raw_umis_per_cell,2595.5
median_genes_per_cell,902.5
model_features,340
mapped_model_features,309
real_model_feature_coverage,0.9088235294117647
leaf_acceptance_rate,0.13539367181751288
root_acceptance_rate,0.0003679175864606328
final_ambiguous_cells,2350
final_photosynthetic_or_assimilation_cells,347
final_vascular_like_or_transport_cells,21
both_models_ambiguous_cells,2349
primary_leaf_supported_root_ambiguous_cells,368
secondary_root_like_signal_only_cells,1
interpretation,provisional_transfer_result_requires_marker_and_cluster_validation
