grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label,leiden_native_program
run,SRR29417743,carbon_fixation_assimilation,Carbon fixation / assimilation,2666,3.2951745408914133,3.3671196177601814,,,
run,SRR29417743,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2666,1.678120721082656,1.4927922721420015,,,
run,SRR29417743,ion_water_balance,Ion / water balance,2666,1.2284553009953645,1.1422897444831,,,
run,SRR29417743,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2666,0.7332164460482231,0.5801217675209046,,,
run,SRR29417743,nutrient_transport,Nutrient transport,2666,0.919278369434448,0.6827166775862374,,,
run,SRR29417743,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2666,2.7389907307650363,2.7380967080593113,,,
run,SRR29417743,rna_binding_regulatory,RNA-binding / regulatory,2666,2.987074077453545,3.1514339447021484,,,
run,SRR29417743,stress_chaperone_response,Stress / chaperone response,2666,1.3047811744042965,1.304132616519928,,,
run,SRR29417743,unknown_high_marker,Unknown high-ranking marker,2666,1.1830486861090417,1.1462880849838257,,,
run,SRR29417744,carbon_fixation_assimilation,Carbon fixation / assimilation,2886,3.2923247007692398,3.359777172833935,,,
run,SRR29417744,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2886,1.7374460463107908,1.5823338768920903,,,
run,SRR29417744,ion_water_balance,Ion / water balance,2886,1.257299734305347,1.1617382071586113,,,
run,SRR29417744,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2886,0.7669075441294342,0.6149744937617982,,,
run,SRR29417744,nutrient_transport,Nutrient transport,2886,0.9447948360466842,0.7085715288005558,,,
run,SRR29417744,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2886,2.7550415922974127,2.767224164581739,,,
run,SRR29417744,rna_binding_regulatory,RNA-binding / regulatory,2886,2.9855183332369144,3.1174278939867377,,,
run,SRR29417744,stress_chaperone_response,Stress / chaperone response,2886,1.2947546457547197,1.3011237131648925,,,
run,SRR29417744,unknown_high_marker,Unknown high-ranking marker,2886,1.191600669780688,1.160449940296179,,,
run,SRR29417745,carbon_fixation_assimilation,Carbon fixation / assimilation,2814,3.5266141133924633,3.5555411436967406,,,
run,SRR29417745,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2814,2.065601870997662,1.7707463075893966,,,
run,SRR29417745,ion_water_balance,Ion / water balance,2814,1.3705226994532147,1.2840023548713804,,,
run,SRR29417745,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2814,0.6881521607555136,0.4864312186614741,,,
run,SRR29417745,nutrient_transport,Nutrient transport,2814,0.6424327573549261,0.45572851148253657,,,
run,SRR29417745,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2814,3.432494908203492,3.470834549527671,,,
run,SRR29417745,rna_binding_regulatory,RNA-binding / regulatory,2814,1.2099629027297283,1.1716403626836198,,,
run,SRR29417745,stress_chaperone_response,Stress / chaperone response,2814,0.9748437325251463,0.9627960463364893,,,
run,SRR29417745,unknown_high_marker,Unknown high-ranking marker,2814,1.2119279119873567,1.066747714339162,,,
run,SRR29417746,carbon_fixation_assimilation,Carbon fixation / assimilation,2718,3.495490370031722,3.49316924755296,,,
run,SRR29417746,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2718,1.9760288759523346,1.772661068324529,,,
run,SRR29417746,ion_water_balance,Ion / water balance,2718,1.3428227329805125,1.236442601943029,,,
run,SRR29417746,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2718,0.6867194220513773,0.48576897604417457,,,
run,SRR29417746,nutrient_transport,Nutrient transport,2718,0.6289604478466837,0.4431459523478965,,,
run,SRR29417746,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2718,3.4028878123271338,3.4200773518624654,,,
run,SRR29417746,rna_binding_regulatory,RNA-binding / regulatory,2718,1.1936483268823253,1.1446845159133,,,
run,SRR29417746,stress_chaperone_response,Stress / chaperone response,2718,0.9393495262657741,0.9391021689288062,,,
run,SRR29417746,unknown_high_marker,Unknown high-ranking marker,2718,1.2348574734218027,1.1066678991425216,,,
timepoint,,carbon_fixation_assimilation,Carbon fixation / assimilation,5532,3.5113222958844195,3.526698309485632,dawn,,
timepoint,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,5532,2.0215925795057608,1.7708808398823659,dawn,,
timepoint,,ion_water_balance,Ion / water balance,5532,1.3569130629975379,1.2614606436200364,dawn,,
timepoint,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,5532,0.6874482229757156,0.4864137867073276,dawn,,
timepoint,,nutrient_transport,Nutrient transport,5532,0.6358134989956704,0.45075178401889615,dawn,,
timepoint,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,5532,3.4179482548065385,3.438681594954356,dawn,,
timepoint,,rna_binding_regulatory,RNA-binding / regulatory,5532,1.2019471729478697,1.1604628953752378,dawn,,
timepoint,,stress_chaperone_response,Stress / chaperone response,5532,0.9574046051547606,0.9507373894922007,dawn,,
timepoint,,unknown_high_marker,Unknown high-ranking marker,5532,1.2231937377246713,1.086773670438892,dawn,,
timepoint,,carbon_fixation_assimilation,Carbon fixation / assimilation,5552,3.293693157859606,3.3649145662784576,dusk,,
timepoint,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,5552,1.708958777388203,1.5375630762637393,dusk,,
timepoint,,ion_water_balance,Ion / water balance,5552,1.2434490031806327,1.1526993969062598,dusk,,
timepoint,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,5552,0.750729506037844,0.5991409167359312,dusk,,
timepoint,,nutrient_transport,Nutrient transport,5552,0.9325421523312264,0.6969096131477385,dusk,,
timepoint,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,5552,2.7473341721163402,2.7577160307246915,dusk,,
timepoint,,rna_binding_regulatory,RNA-binding / regulatory,5552,2.9862653818827245,3.1334568262100215,dusk,,
timepoint,,stress_chaperone_response,Stress / chaperone response,5552,1.2995692576747075,1.3018708915784023,dusk,,
timepoint,,unknown_high_marker,Unknown high-ranking marker,5552,1.1874941156617023,1.1535235468749376,dusk,,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,9944,3.39970075729078,3.446313131498067,,ambiguous,
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,9944,1.8317931792974125,1.6353585551390615,,ambiguous,
final_label,,ion_water_balance,Ion / water balance,9944,1.318855295565471,1.2299931689891412,,ambiguous,
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,9944,0.7451847347840892,0.5751029768308935,,ambiguous,
final_label,,nutrient_transport,Nutrient transport,9944,0.8195783192740305,0.5569060138389643,,ambiguous,
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,9944,3.075504368636776,3.1143919348576174,,ambiguous,
final_label,,rna_binding_regulatory,RNA-binding / regulatory,9944,2.1535697639249354,2.1778909774375275,,ambiguous,
final_label,,stress_chaperone_response,Stress / chaperone response,9944,1.161465925501579,1.1720365699611772,,ambiguous,
final_label,,unknown_high_marker,Unknown high-ranking marker,9944,1.2422482756486501,1.161471500469235,,ambiguous,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,1076,3.422055451745698,3.493178078577384,,photosynthetic_or_assimilation,
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1076,2.129502901450945,1.6605187705601834,,photosynthetic_or_assimilation,
final_label,,ion_water_balance,Ion / water balance,1076,1.1376943684402665,1.09877741580092,,photosynthetic_or_assimilation,
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1076,0.4941336556839875,0.41935038096958355,,photosynthetic_or_assimilation,
final_label,,nutrient_transport,Nutrient transport,1076,0.47755915588730014,0.41450293563560103,,photosynthetic_or_assimilation,
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1076,3.1374507016613418,3.16645629384426,,photosynthetic_or_assimilation,
final_label,,rna_binding_regulatory,RNA-binding / regulatory,1076,1.593278769275675,1.3469109141819635,,photosynthetic_or_assimilation,
final_label,,stress_chaperone_response,Stress / chaperone response,1076,0.8487384775734067,0.8337149303988467,,photosynthetic_or_assimilation,
final_label,,unknown_high_marker,Unknown high-ranking marker,1076,0.8870441935160144,0.6912532265231109,,photosynthetic_or_assimilation,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,2,3.0235032778758195,3.0235032778758195,,review_required,
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2,2.298875163320596,2.298875163320596,,review_required,
final_label,,ion_water_balance,Ion / water balance,2,0.7791431638987775,0.7791431638987775,,review_required,
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2,0.46169992587047737,0.46169992587047737,,review_required,
final_label,,nutrient_transport,Nutrient transport,2,0.4372964359110505,0.4372964359110505,,review_required,
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2,2.8885716798811116,2.8885716798811116,,review_required,
final_label,,rna_binding_regulatory,RNA-binding / regulatory,2,1.5751955499012484,1.5751955499012484,,review_required,
final_label,,stress_chaperone_response,Stress / chaperone response,2,1.1497977210191996,1.1497977210191996,,review_required,
final_label,,unknown_high_marker,Unknown high-ranking marker,2,0.2623778615466303,0.2623778615466303,,review_required,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,4,3.3901864363587135,3.40969974466895,,transport_interface_or_water_balance,
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,4,2.3217596573022017,2.284744405653053,,transport_interface_or_water_balance,
final_label,,ion_water_balance,Ion / water balance,4,1.1141743087011426,0.8291838164901809,,transport_interface_or_water_balance,
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,4,0.9208668801392994,1.0324622395741105,,transport_interface_or_water_balance,
final_label,,nutrient_transport,Nutrient transport,4,0.987342125547398,0.7396631054269446,,transport_interface_or_water_balance,
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,4,3.0733432729982355,3.0863409936428075,,transport_interface_or_water_balance,
final_label,,rna_binding_regulatory,RNA-binding / regulatory,4,2.070284193086799,1.9911312765442846,,transport_interface_or_water_balance,
final_label,,stress_chaperone_response,Stress / chaperone response,4,1.1564719744108929,1.1124598383903503,,transport_interface_or_water_balance,
final_label,,unknown_high_marker,Unknown high-ranking marker,4,1.839271075435784,1.5529684005626923,,transport_interface_or_water_balance,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,58,3.4975104205184944,3.4947686092349333,,vascular_like_or_transport,
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,58,2.6035861385281427,2.3171432538683305,,vascular_like_or_transport,
final_label,,ion_water_balance,Ion / water balance,58,1.1241508112737753,1.0992974987511253,,vascular_like_or_transport,
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,58,0.42417419728477,0.44500470837788364,,vascular_like_or_transport,
final_label,,nutrient_transport,Nutrient transport,58,0.45223941753986346,0.410853968756818,,vascular_like_or_transport,
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,58,3.1811406209695803,3.287418367628353,,vascular_like_or_transport,
final_label,,rna_binding_regulatory,RNA-binding / regulatory,58,1.5175852565201684,1.4568502214015147,,vascular_like_or_transport,
final_label,,stress_chaperone_response,Stress / chaperone response,58,0.7204404470645573,0.683886452116768,,vascular_like_or_transport,
final_label,,unknown_high_marker,Unknown high-ranking marker,58,0.7658076198001097,0.6081569989743241,,vascular_like_or_transport,
leiden_native_program,,carbon_fixation_assimilation,Carbon fixation / assimilation,1176,3.7520042702458416,3.780509052499132,,,0
leiden_native_program,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1176,1.8670843419931322,1.7791789485306486,,,0
leiden_native_program,,ion_water_balance,Ion / water balance,1176,1.3309408287713589,1.3211059980114863,,,0
