grouping,run,native_program_id,native_program_name,n_cells,mean_score,median_score,timepoint,final_label
run,SRR29417743,carbon_fixation_assimilation,Carbon fixation / assimilation,2666,3.451800582722243,3.548659011721611,,
run,SRR29417743,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2666,1.8959905855016697,1.72461574152112,,
run,SRR29417743,ion_water_balance,Ion / water balance,2666,1.408275684565561,1.3604899815150668,,
run,SRR29417743,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2666,1.1498785176962776,1.0881301164627075,,
run,SRR29417743,nutrient_transport,Nutrient transport,2666,1.018699744077426,0.6815256714820862,,
run,SRR29417743,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2666,2.9097799496415693,2.9436786472797394,,
run,SRR29417743,rna_binding_regulatory,RNA-binding / regulatory,2666,2.987074077453545,3.1514339447021484,,
run,SRR29417743,stress_chaperone_response,Stress / chaperone response,2666,1.3233961064514508,1.3304373063147068,,
run,SRR29417743,unknown_high_marker,Unknown high-ranking marker,2666,1.1830486861090417,1.1462880849838257,,
run,SRR29417744,carbon_fixation_assimilation,Carbon fixation / assimilation,2886,3.4781899753219188,3.5716967498625367,,
run,SRR29417744,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2886,1.9777995878864953,1.855218259516072,,
run,SRR29417744,ion_water_balance,Ion / water balance,2886,1.4323234647328198,1.3829925445908373,,
run,SRR29417744,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2886,1.1845293956555671,1.1478917893382472,,
run,SRR29417744,nutrient_transport,Nutrient transport,2886,1.0616972044184554,0.7168499837333416,,
run,SRR29417744,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2886,2.9303853789717986,2.983866592311807,,
run,SRR29417744,rna_binding_regulatory,RNA-binding / regulatory,2886,2.9855183332369144,3.1174278939867377,,
run,SRR29417744,stress_chaperone_response,Stress / chaperone response,2886,1.3130943299426752,1.3182612692253877,,
run,SRR29417744,unknown_high_marker,Unknown high-ranking marker,2886,1.191600669780688,1.160449940296179,,
run,SRR29417745,carbon_fixation_assimilation,Carbon fixation / assimilation,2814,3.6683733416726447,3.7025116491949914,,
run,SRR29417745,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2814,2.3281152010942443,2.064184787843063,,
run,SRR29417745,ion_water_balance,Ion / water balance,2814,1.5828467277807374,1.5386987970609103,,
run,SRR29417745,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2814,1.043379384792158,0.9449512252498903,,
run,SRR29417745,nutrient_transport,Nutrient transport,2814,0.6691230698925461,0.4151533611693652,,
run,SRR29417745,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2814,3.8028333945782835,3.841192151658981,,
run,SRR29417745,rna_binding_regulatory,RNA-binding / regulatory,2814,1.2099629027297283,1.1716403626836198,,
run,SRR29417745,stress_chaperone_response,Stress / chaperone response,2814,0.9621159543770824,0.950616668747007,,
run,SRR29417745,unknown_high_marker,Unknown high-ranking marker,2814,1.2119279119873567,1.066747714339162,,
run,SRR29417746,carbon_fixation_assimilation,Carbon fixation / assimilation,2718,3.649716153061396,3.675709820161705,,
run,SRR29417746,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,2718,2.229589130227509,2.0398362255443225,,
run,SRR29417746,ion_water_balance,Ion / water balance,2718,1.5514028102612913,1.4958433102752233,,
run,SRR29417746,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,2718,1.0356062416389964,0.9270101160312476,,
run,SRR29417746,nutrient_transport,Nutrient transport,2718,0.6655986374875614,0.41407033888237144,,
run,SRR29417746,photosynthesis_light_harvesting,Photosynthesis / light harvesting,2718,3.77543149091386,3.801221463470667,,
run,SRR29417746,rna_binding_regulatory,RNA-binding / regulatory,2718,1.1936483268823253,1.1446845159133,,
run,SRR29417746,stress_chaperone_response,Stress / chaperone response,2718,0.9204434502287228,0.9090622701463836,,
run,SRR29417746,unknown_high_marker,Unknown high-ranking marker,2718,1.2348574734218027,1.1066678991425216,,
timepoint,,carbon_fixation_assimilation,Carbon fixation / assimilation,5532,3.659206631866901,3.687261828820861,dawn,
timepoint,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,5532,2.279707055646705,2.050526346107262,dawn,
timepoint,,ion_water_balance,Ion / water balance,5532,1.5673976012771484,1.5162632185370384,dawn,
timepoint,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,5532,1.0395602591431532,0.9388689189644679,dawn,
timepoint,,nutrient_transport,Nutrient transport,5532,0.6673914344484485,0.4147629531600189,dawn,
timepoint,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,5532,3.7893702032984744,3.8209977375328137,dawn,
timepoint,,rna_binding_regulatory,RNA-binding / regulatory,5532,1.2019471729478697,1.1604628953752378,dawn,
timepoint,,stress_chaperone_response,Stress / chaperone response,5532,0.9416412858529968,0.9307073008537339,dawn,
timepoint,,unknown_high_marker,Unknown high-ranking marker,5532,1.2231937377246713,1.086773670438892,dawn,
timepoint,,carbon_fixation_assimilation,Carbon fixation / assimilation,5552,3.465518123616095,3.5561554577776207,dusk,
timepoint,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,5552,1.9385159422888827,1.7944175677684087,dusk,
timepoint,,ion_water_balance,Ion / water balance,5552,1.420776025625127,1.3709290394341003,dusk,
timepoint,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,5552,1.167890483436643,1.1165537536144257,dusk,
timepoint,,nutrient_transport,Nutrient transport,5552,1.0410503691754465,0.699041497707367,dusk,
timepoint,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,5552,2.920490913086642,2.959994837641716,dusk,
timepoint,,rna_binding_regulatory,RNA-binding / regulatory,5552,2.9862653818827245,3.1334568262100215,dusk,
timepoint,,stress_chaperone_response,Stress / chaperone response,5552,1.3180411123944757,1.3257727473974228,dusk,
timepoint,,unknown_high_marker,Unknown high-ranking marker,5552,1.1874941156617023,1.1535235468749376,dusk,
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,9944,3.5587723264986417,3.632682136836496,,ambiguous
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,9944,2.074036676091795,1.9031551728447114,,ambiguous
final_label,,ion_water_balance,Ion / water balance,9944,1.51037715160651,1.4670066405158981,,ambiguous
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,9944,1.1364989802731706,1.0844719298438288,,ambiguous
final_label,,nutrient_transport,Nutrient transport,9944,0.8962426174886372,0.5609652356451886,,ambiguous
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,9944,3.345656084727605,3.382319212864335,,ambiguous
final_label,,rna_binding_regulatory,RNA-binding / regulatory,9944,2.1535697639249354,2.1778909774375275,,ambiguous
final_label,,stress_chaperone_response,Stress / chaperone response,9944,1.159010598924191,1.1676218900801243,,ambiguous
final_label,,unknown_high_marker,Unknown high-ranking marker,9944,1.2422482756486501,1.161471500469235,,ambiguous
final_label,,carbon_fixation_assimilation,Carbon fixation / assimilation,1076,3.5913044636661486,3.684714282739198,,photosynthetic_or_assimilation
final_label,,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,1076,2.3870992131796913,1.937757215788458,,photosynthetic_or_assimilation
final_label,,ion_water_balance,Ion / water balance,1076,1.3518553724209643,1.304550073619648,,photosynthetic_or_assimilation
final_label,,lipid_surface_cell_wall,Lipid / surface / cell-wall biology,1076,0.8194477685212392,0.7761294974950104,,photosynthetic_or_assimilation
final_label,,nutrient_transport,Nutrient transport,1076,0.4907943962074952,0.368605834650375,,photosynthetic_or_assimilation
final_label,,photosynthesis_light_harvesting,Photosynthesis / light harvesting,1076,3.4297824132317403,3.4757961610268016,,photosynthetic_or_assimilation
final_label,,rna_binding_regulatory,RNA-binding / regulatory,1076,1.593278769275675,1.3469109141819635,,photosynthetic_or_assimilation
