reviewed_panel_version,native_program_id,native_program_name,reviewed_panel_tier,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,manual_recommended_decision,manual_review_confidence,annotation_fit_to_program,suggested_program_adjustment,manual_review_notes_recommended,reviewed_decision_source
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,keep,high,direct,,"RCA activates Rubisco, directly supporting carbon fixation/assimilation.",manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,keep,high,direct,,Fructose-bisphosphate aldolase is a Calvin-cycle/carbon-assimilation enzyme.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,,Rubisco annotation directly supports carbon fixation.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,keep,high,direct,,Fructose-bisphosphate aldolase is a direct carbon-assimilation marker.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,,Rubisco annotation directly supports carbon fixation.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,,Rubisco annotation directly supports carbon fixation.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_core,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",keep,high,direct,,Rubisco annotation directly supports carbon fixation.,manual_review_recommendation
v1,carbon_fixation_assimilation,Carbon fixation / assimilation,reviewed_supporting,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,maybe,medium,partial,stress_chaperone_response,"Carbonic anhydrase supports CO2 balance, but this bifunctional annotation also suggests oxidative/stress biology; keep as cautious supporting marker.",manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149170,rps8,1,1,52.2254,high,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",keep,high,direct,,rps8 is a plastid/chloroplast ribosomal protein; strong fit for chloroplast gene expression/translation.,manual_review_recommendation
v1,chloroplast_gene_expression,Chloroplast gene expression / plastid translation,reviewed_core,Waus8730.v1.chrC.g149180,rpoA,1,2,52.0804,high,"Bacterial RNA polymerase, alpha chain C terminal domain",keep,high,direct,,rpoA is plastid RNA polymerase-related; strong fit for chloroplast transcription/gene expression.,manual_review_recommendation
