native_program_id,native_program_name,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,candidate_rationale,review_status
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023630,-,11,5,27.7514,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr7.g128680,-,4;8,5,37.5678,high,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g022900,-,4;6,8,36.625,medium,Reversible hydration of carbon dioxide,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr5.g115210,-,4;6,9,36.3033,medium,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chrC.g149290,-,1,9,49.4792,medium,Ribulose bisphosphate carboxylase large chain,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023660,-,11,14,25.6844,candidate,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr2.g080040,-,6,14,22.0282,candidate,Belongs to the glyceraldehyde-3-phosphate dehydrogenase family,"Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
carbon_fixation_assimilation,Carbon fixation / assimilation,Waus8730.v1.chr11.g023510,-,4;11,18,35.1893,candidate,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same","Marker annotation supports carbon fixation, Calvin-cycle, or assimilation-related metabolism.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149170,rps8,1,1,52.2254,high,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit","Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149180,rpoA,1,2,52.0804,high,"Bacterial RNA polymerase, alpha chain C terminal domain","Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149550,ccsA,1,3,51.2945,high,Cytochrome c biogenesis protein CcsA,"Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149300,atpB,1,4,51.2809,high,ATP synthase subunit beta,"Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chr1.g011900,-,3,5,38.9016,high,"Short-chain dehydrogenase TIC 32, chloroplastic-like","Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149140,rps3,1,5,51.0409,high,Belongs to the universal ribosomal protein uS3 family,"Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149640,ycf1,1,6,50.2663,medium,Involved in protein precursor import into chloroplasts. May be part of an intermediate translocation complex acting as a protein-conducting channel at the inner envelope,"Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149220,clpP,1,7,49.8573,medium,ATP-dependent Clp protease proteolytic,"Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149150,rpl16,1,10,49.1123,medium,"50S ribosomal protein L16, chloroplastic","Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,Waus8730.v1.chrC.g149130,rpl22,1,14,47.8596,candidate,"50S ribosomal protein L22, chloroplastic","Marker annotation indicates plastid/chloroplast gene expression, ribosome, ATP synthase, or plastid protein processing.",candidate_for_manual_review
