native_program_id,native_program_name,trusted_panel_tier,initial_review_call,manual_review_priority,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,reason_for_inclusion,review_note,manual_decision,manual_decision_notes,marker_label,grouping,group,n_cells,mean_expression,detection_fraction
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,RCA|Waus8730.v1.chr9.g148620,all_cells,all_cells,11084,4.195725211330547,0.9947672320461927
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,RCA|Waus8730.v1.chr9.g148620,timepoint,dawn,5532,4.80253572370406,0.9987346348517715
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,RCA|Waus8730.v1.chr9.g148620,timepoint,dusk,5552,3.5911006157883496,0.990814121037464
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr13.g040080,all_cells,all_cells,11084,1.6587794744755846,0.6903644893540238
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr13.g040080,timepoint,dawn,5532,0.7061807046188335,0.4906001446131598
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr13.g040080,timepoint,dusk,5552,2.6079466925677215,0.8894092219020173
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr11.g023520,all_cells,all_cells,11084,4.162279895205015,0.9963911945146157
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr11.g023520,timepoint,dawn,5532,4.206669291541066,0.9954808387563269
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr11.g023520,timepoint,dusk,5552,4.11805040303444,0.9972982708933718
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr20.g087750,all_cells,all_cells,11084,0.4965631073447636,0.22924936845904006
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr20.g087750,timepoint,dawn,5532,0.7905187318230803,0.3458062183658713
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr20.g087750,timepoint,dusk,5552,0.20366640082206067,0.11311239193083573
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr14.g043590,all_cells,all_cells,11084,4.151983450437328,0.991699747383616
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,Waus8730.v1.chr14.g043590,timepoint,dawn,5532,4.7145248892579135,0.9983731019522777
