arabidopsis_gene_id,arabidopsis_protein_id,arabidopsis_gene_symbol,wolffia_gene_key,wolffia_ncbi_gene_id,wolffia_locus_tag,wolffia_gene_symbol,wolffia_protein_id,wolffia_product,percent_identity,query_coverage,subject_coverage,evalue,bitscore,top_hit_score_ratio,reciprocal_best_hit,arabidopsis_genes_sharing_wolffia_top_hit,orthology_status,mapping_confidence
AT1G01120,NP_171620.2,KCS1,144711700,144711700,,KCS1,XP_078441839.1,3-ketoacyl-CoA synthase 1,64.4,98.3,99.6,1.8199999999999998e-236,658.0,1.0494417862838916,True,1.0,reciprocal_best_hit,medium
AT1G01453,,,,,,,,,,,,,,,,,no_hit,unmapped
AT1G01620,NP_171668.1,PIP1C,144706753,144706753,,LOC144706753,XP_078435893.1,aquaporin PIP1-3,85.9,99.0,98.6,6.23e-182,501.0,1.0060240963855422,True,2.0,reciprocal_best_hit,medium
AT1G01750,NP_001320442.1,ADF11,144701435,144701435,,LOC144701435,XP_078429372.1,actin-depolymerizing factor 7-like,80.4,95.2,99.3,5.54e-80,231.0,1.0221238938053097,False,1.0,directional_best_hit,low
AT1G01900,NP_563639.2,SBTI1.1,144711580,144711580,,SBT1.3,XP_078441672.1,subtilase 1.3,46.4,89.8,91.2,7.709999999999999e-197,576.0,1.0140845070422535,False,1.0,directional_best_hit,low
AT1G02310,NP_001321462.1,MAN1,144714355,144714355,,LOC144714355,XP_078445204.1,"putative mannan endo-1,4-beta-mannosidase 9",51.6,87.0,90.9,8.49e-134,389.0,1.020997375328084,False,1.0,directional_best_hit,low
AT1G02335,NP_001077450.1,GL22,144706453,144706453,,LOC144706453,XP_078435538.1,nectarin-1-like,67.5,92.7,91.8,1.79e-92,269.0,1.018939393939394,False,5.0,directional_best_hit,low
AT1G02360,NP_001323420.1,,144713588,144713588,,LOC144713588,XP_078444333.1,chitinase 10-like,68.9,81.5,95.5,1.2300000000000001e-145,410.0,2.1465968586387434,True,2.0,reciprocal_best_hit,high
AT1G02390,NP_563651.1,GPAT2,144714413,144714413,,LOC144714413,XP_078445273.1,LOW QUALITY PROTEIN: putative glycerol-3-phosphate acyltransferase 2,45.7,89.4,96.8,2.08e-130,387.0,1.03475935828877,True,1.0,reciprocal_best_hit,medium
AT1G02400,NP_171742.1,GA2OX6,144713218,144713218,,LOC144713218,XP_078443870.1,gibberellin 2-beta-dioxygenase 2-like,45.8,92.1,90.4,2.2699999999999998e-91,275.0,1.0826771653543308,False,1.0,directional_best_hit,low
AT1G02460,NP_563654.1,,144716983,144716983,,LOC144716983,XP_078448411.1,polygalacturonase At1g48100-like,61.8,81.7,86.7,1.42e-187,530.0,1.062124248496994,True,2.0,reciprocal_best_hit,medium
AT1G02570,,,,,,,,,,,,,,,,,no_hit,unmapped
AT1G02640,NP_563659.1,BXL2,144709345,144709345,,LOC144709345,XP_078439014.1,putative beta-D-xylosidase 2,64.0,95.8,96.1,0.0,979.0,1.2146401985111663,True,1.0,reciprocal_best_hit,high
AT1G02690,NP_973743.1,IMPA-6,144709562,144709562,,LOC144709562,XP_078439266.1,importin subunit alpha-1a-like,54.4,100.0,100.0,7.87e-140,413.0,1.0325,False,1.0,directional_best_hit,low
AT1G02705,,,,,,,,,,,,,,,,,no_hit,unmapped
AT1G02730,NP_171773.1,CSLD5,144707241,144707241,,CSLD5,XP_078436531.1,cellulose synthase-like D5,67.4,92.6,93.6,0.0,1469.0,1.0455516014234876,True,1.0,reciprocal_best_hit,medium
AT1G02900,NP_171789.1,RALF1,144716162,144716162,,LOC144716162,XP_078447359.1,protein RALF-like 19,56.8,58.3,59.7,1.8e-18,73.9,inf,False,1.0,directional_best_hit,low
AT1G02920,NP_171791.1,GSTF7,144716841,144716841,,LOC144716841,XP_078448223.1,"glutathione S-transferase F8, chloroplastic-like",41.4,100.0,96.3,2.31e-50,161.0,1.038709677419355,False,5.0,directional_best_hit,low
AT1G02930,NP_001184893.1,GSTF6,144716841,144716841,,LOC144716841,XP_078448223.1,"glutathione S-transferase F8, chloroplastic-like",41.9,100.0,96.3,2.23e-50,161.0,1.0254777070063694,False,5.0,directional_best_hit,low
AT1G02950,NP_001320441.1,GSTF4,144716841,144716841,,LOC144716841,XP_078448223.1,"glutathione S-transferase F8, chloroplastic-like",42.2,82.7,96.8,8.35e-52,167.0,inf,False,5.0,directional_best_hit,low
AT1G03070,NP_001184896.1,,144707948,144707948,,LOC144707948,XP_078437355.1,protein LIFEGUARD 4-like,72.9,95.5,95.2,1.2799999999999999e-120,342.0,1.159322033898305,True,1.0,reciprocal_best_hit,high
AT1G03445,NP_171844.6,BSU1,144712358,144712358,,LOC144712358,XP_078442741.1,serine/threonine-protein phosphatase BSL2 homolog isoform X1,45.1,98.4,92.0,1.2899999999999999e-254,733.0,1.1022556390977443,False,1.0,directional_best_hit,low
AT1G03780,NP_001184902.1,TPX2,144704831,144704831,,TPX2,XP_078433504.1,targeting protein for XKLP2 isoform X1,45.5,93.5,98.1,5.59e-172,512.0,6.073546856465006,True,1.0,reciprocal_best_hit,high
AT1G03790,NP_171875.1,SOM,144709918,144709918,,LOC144709918,XP_078439720.1,zinc finger CCCH domain-containing protein 20-like,59.3,41.2,50.7,1.27e-62,201.0,1.0748663101604279,False,3.0,below_threshold,unmapped
AT1G03820,,,,,,,,,,,,,,,,,no_hit,unmapped
AT1G03850,NP_849586.1,GRXS13,144704425,144704425,,LOC144704425,XP_078432971.1,glutaredoxin-C1-like,37.6,50.3,67.5,1.15e-14,65.5,1.133217993079585,False,3.0,directional_best_hit,low
AT1G04040,NP_563698.1,,144703612,144703612,,LOC144703612,XP_078431940.1,acid phosphatase 1-like,40.4,80.4,81.9,3.34e-57,182.0,inf,False,3.0,directional_best_hit,low
AT1G04240,NP_001322162.1,SHY2,144709109,144709109,,LOC144709109,XP_078438635.1,auxin-responsive protein IAA1-like,47.1,62.6,47.6,8.100000000000001e-43,149.0,1.0567375886524824,False,9.0,directional_best_hit,low
