program,gene,gene_id,priority,notes
proliferative_or_meristematic,CYCB1;1,AT4G37490,high,cell_cycle_marker
proliferative_or_meristematic,PCNA1,AT1G07370,high,DNA_replication_marker
photosynthetic_or_assimilation,LHCB1.1,AT1G29910,high,light_harvesting_marker
photosynthetic_or_assimilation,LHCB2.1,AT2G05100,high,light_harvesting_marker
photosynthetic_or_assimilation,RBCS1A,AT1G67090,high,carbon_fixation_marker
photosynthetic_or_assimilation,RBCS2B,AT5G38420,medium,carbon_fixation_marker
vascular_like_or_transport,SUC2,AT1G22710,high,phloem_transport_marker
vascular_like_or_transport,SWEET11,AT3G48740,medium,sugar_transport_marker
vascular_like_or_transport,CESA7,AT5G17420,medium,vascular_specialization_marker
developmental_transition,PLT1,AT3G20840,medium,developmental_gradient_marker
developmental_transition,SCR,AT3G54220,medium,patterning_marker
developmental_transition,IAA19,AT3G15540,high,auxin_response_marker
epidermal_or_surface_identity,ATML1,AT4G21750,medium,surface_identity_marker
epidermal_or_surface_identity,PDF1,AT2G42840,low,epidermal_marker_family
reproductive_or_floral,AP1,AT1G69120,low,floral_identity_marker
reproductive_or_floral,LFY,AT5G61850,low,floral_transition_marker
aquatic_adaptation_or_stress,PIP2;1,AT3G53420,medium,aquaporin_like_marker
aquatic_adaptation_or_stress,ZAT12,AT5G59820,low,stress_response_marker
