gene,marker_label,cluster,mean_expression,detection_fraction
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,0,2.0510511462531897,0.8171611868484362
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,1,1.8513348652723862,0.8017021276595745
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,2,2.2005714354813084,0.8584247258225324
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,3,2.7244576018272233,0.9160696008188332
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,4,1.8036803629908822,0.5888538380651945
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,5,2.2348265800897464,0.8568281938325991
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,6,2.4001008855390342,0.9361963190184049
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,7,5.684066524652568,1.0
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,8,2.48149111724741,0.9527665317139001
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,9,2.111025398138515,0.6656848306332842
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,10,2.612552357230804,0.9055374592833876
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,11,2.283471369945519,0.9022727272727272
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,12,4.672713139321226,1.0
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,13,1.7508323046435847,0.9685534591194969
Waus8730.v1.chrC.g149170,rps8|Waus8730.v1.chrC.g149170,14,1.4727497538535852,0.8043478260869565
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,0,2.154187814345981,0.834803528468324
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,1,1.8825288468271444,0.8034042553191489
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,2,2.108006436891816,0.8534396809571286
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,3,2.84144576621499,0.9334698055271239
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,4,2.0059557565243695,0.647739221871714
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,5,2.2706913678978617,0.8788546255506607
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,6,2.2120131523631117,0.9411042944785276
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,7,5.5441348344577985,1.0
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,8,2.3342846884795154,0.9473684210526315
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,9,2.1324338922121813,0.6701030927835051
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,10,2.688515922808482,0.8973941368078175
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,11,2.2708078359393458,0.9113636363636364
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,12,4.696074461749382,0.9972826086956522
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,13,1.6990515008848084,0.9685534591194969
Waus8730.v1.chrC.g149180,rpoA|Waus8730.v1.chrC.g149180,14,1.7064982653249379,0.9347826086956522
Waus8730.v1.chrC.g149550,ccsA|Waus8730.v1.chrC.g149550,0,1.8492212571682431,0.7786688051323175
Waus8730.v1.chrC.g149550,ccsA|Waus8730.v1.chrC.g149550,1,1.9398651908681588,0.7761702127659574
Waus8730.v1.chrC.g149550,ccsA|Waus8730.v1.chrC.g149550,2,1.9376368096143795,0.8005982053838484
Waus8730.v1.chrC.g149550,ccsA|Waus8730.v1.chrC.g149550,3,2.719475989702393,0.8955987717502559
Waus8730.v1.chrC.g149550,ccsA|Waus8730.v1.chrC.g149550,4,1.6291484337801276,0.5478443743427971
