native_program_id,native_program_name,trusted_panel_tier,initial_review_call,manual_review_priority,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,reason_for_inclusion,review_note,manual_decision,manual_decision_notes
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149170,rps8,1,1,52.2254,high,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149180,rpoA,1,2,52.0804,high,"Bacterial RNA polymerase, alpha chain C terminal domain",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,
