native_program_id,native_program_name,trusted_panel_tier,initial_review_call,manual_review_priority,waus8730_gene_id,preferred_name,source_leiden_clusters,best_marker_rank,max_marker_score,evidence_level,annotation_summary,reason_for_inclusion,review_note,manual_decision,manual_decision_notes,mean_expression,detection_fraction,manual_recommended_decision,manual_review_confidence,annotation_fit_to_program,suggested_program_adjustment,manual_expression_check,manual_review_notes_recommended
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr9.g148620,RCA,6;8,1,33.4219,high,Ribulose bisphosphate carboxylase oxygenase activase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,4.195725211330547,0.9947672320461928,keep,high,direct,,All-cell detection fraction 0.995; mean normalized expression 4.196. Use notebook plots to confirm cluster specificity.,"RCA activates Rubisco, directly supporting carbon fixation/assimilation."
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr13.g040080,-,0;11;12,1,30.9583,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,1.6587794744755846,0.6903644893540238,keep,high,direct,,All-cell detection fraction 0.690; mean normalized expression 1.659. Use notebook plots to confirm cluster specificity.,Fructose-bisphosphate aldolase is a Calvin-cycle/carbon-assimilation enzyme.
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr11.g023520,-,0;4;11,3,39.6595,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,4.162279895205015,0.9963911945146156,keep,high,direct,,All-cell detection fraction 0.996; mean normalized expression 4.162. Use notebook plots to confirm cluster specificity.,Rubisco annotation directly supports carbon fixation.
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr20.g087750,-,9,3,36.451,high,Bifunctional monodehydroascorbate reductase and carbonic anhydrase nectarin-3,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,0.4965631073447636,0.22924936845904,maybe,medium,partial,stress_chaperone_response,All-cell detection fraction 0.229; mean normalized expression 0.497. Use notebook plots to confirm cluster specificity.,"Carbonic anhydrase supports CO2 balance, but this bifunctional annotation also suggests oxidative/stress biology; keep as cautious supporting marker."
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,high,Waus8730.v1.chr14.g043590,-,6;8,3,28.9053,high,fructose-bisphosphate aldolase,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,4.151983450437328,0.991699747383616,keep,high,direct,,All-cell detection fraction 0.992; mean normalized expression 4.152. Use notebook plots to confirm cluster specificity.,Fructose-bisphosphate aldolase is a direct carbon-assimilation marker.
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023670,-,0;4;11,4,38.7658,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,3.9316578347339783,0.9944965716347888,keep,high,direct,,All-cell detection fraction 0.994; mean normalized expression 3.932. Use notebook plots to confirm cluster specificity.,Rubisco annotation directly supports carbon fixation.
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr11.g023640,-,0;11,4,28.0335,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,6.057919772350523,0.9998195597257308,keep,high,direct,,All-cell detection fraction 1.000; mean normalized expression 6.058. Use notebook plots to confirm cluster specificity.,Rubisco annotation directly supports carbon fixation.
carbon_fixation_assimilation,Carbon fixation / assimilation,core_marker,keep_initial,medium,Waus8730.v1.chr5.g116260,-,0;6,4,27.8803,high,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate. Both reactions occur simultaneously and in competition at the same",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,3.8425923077521817,0.9931432695777698,keep,high,direct,,All-cell detection fraction 0.993; mean normalized expression 3.843. Use notebook plots to confirm cluster specificity.,Rubisco annotation directly supports carbon fixation.
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149170,rps8,1,1,52.2254,high,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,2.533945228925792,0.8520389750992422,keep,high,direct,,All-cell detection fraction 0.852; mean normalized expression 2.534. Use notebook plots to confirm cluster specificity.,rps8 is a plastid/chloroplast ribosomal protein; strong fit for chloroplast gene expression/translation.
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149180,rpoA,1,2,52.0804,high,"Bacterial RNA polymerase, alpha chain C terminal domain",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,2.5425649226836966,0.8627751714182605,keep,high,direct,,All-cell detection fraction 0.863; mean normalized expression 2.543. Use notebook plots to confirm cluster specificity.,rpoA is plastid RNA polymerase-related; strong fit for chloroplast transcription/gene expression.
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,high,Waus8730.v1.chrC.g149550,ccsA,1,3,51.2945,high,Cytochrome c biogenesis protein CcsA,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,2.345343810157008,0.8178455431252255,keep,medium,partial,,All-cell detection fraction 0.818; mean normalized expression 2.345. Use notebook plots to confirm cluster specificity.,"ccsA is chloroplast cytochrome c biogenesis; related to chloroplast function, though not translation-specific."
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chrC.g149300,atpB,1,4,51.2809,high,ATP synthase subunit beta,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,3.10285634491353,0.91014074341393,keep,medium,partial,photosynthesis_light_harvesting,All-cell detection fraction 0.910; mean normalized expression 3.103. Use notebook plots to confirm cluster specificity.,"atpB is chloroplast ATP synthase; fits chloroplast/photosynthetic machinery, though not strictly gene expression."
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chrC.g149140,rps3,1,5,51.0409,high,Belongs to the universal ribosomal protein uS3 family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,1.899257011486729,0.7595633345362685,keep,high,direct,,All-cell detection fraction 0.760; mean normalized expression 1.899. Use notebook plots to confirm cluster specificity.,rps3 is a plastid/chloroplast ribosomal protein; strong fit for plastid translation.
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,core_marker,keep_initial,medium,Waus8730.v1.chr1.g011900,-,3,5,38.9016,high,"Short-chain dehydrogenase TIC 32, chloroplastic-like",High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,0.5392235036395719,0.3097257307831108,maybe,medium,partial,,All-cell detection fraction 0.310; mean normalized expression 0.539. Use notebook plots to confirm cluster specificity.,"TIC32 is chloroplast-related and plausible, but less direct than ribosomal/polymerase genes."
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,supporting_marker,supporting_review,medium,Waus8730.v1.chrC.g149640,ycf1,1,6,50.2663,medium,Involved in protein precursor import into chloroplasts. May be part of an intermediate translocation complex acting as a protein-conducting channel at the inner envelope,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,,2.296050929551125,0.8098159509202454,keep,medium,partial,,All-cell detection fraction 0.810; mean normalized expression 2.296. Use notebook plots to confirm cluster specificity.,ycf1 is chloroplast import/translocation-related; useful supporting chloroplast-function marker.
chloroplast_gene_expression,Chloroplast gene expression / plastid translation,supporting_marker,supporting_review,medium,Waus8730.v1.chrC.g149220,clpP,1,7,49.8573,medium,ATP-dependent Clp protease proteolytic,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,,1.611187655661998,0.7011909058101768,keep,medium,partial,,All-cell detection fraction 0.701; mean normalized expression 1.611. Use notebook plots to confirm cluster specificity.,clpP is plastid protease-related; useful supporting marker for chloroplast protein maintenance.
ion_water_balance,Ion / water balance,core_marker,keep_initial,high,Waus8730.v1.chr12.g027290,-,5,1,38.4052,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,2.5008253665419744,0.8391374954889932,keep,high,direct,,All-cell detection fraction 0.839; mean normalized expression 2.501. Use notebook plots to confirm cluster specificity.,MIP/aquaporin annotation directly supports water transport/balance.
ion_water_balance,Ion / water balance,core_marker,keep_initial,high,Waus8730.v1.chr5.g111250,-,5,2,38.3184,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,3.4747014969671137,0.952995308552869,keep,high,direct,,All-cell detection fraction 0.953; mean normalized expression 3.475. Use notebook plots to confirm cluster specificity.,MIP/aquaporin annotation directly supports water transport/balance.
ion_water_balance,Ion / water balance,core_marker,keep_initial,medium,Waus8730.v1.chr1.g013300,-,5,4,34.2919,high,Belongs to the MIP aquaporin (TC 1.A.8) family,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,2.6388912504511453,0.8551064597618189,keep,high,direct,,All-cell detection fraction 0.855; mean normalized expression 2.639. Use notebook plots to confirm cluster specificity.,MIP/aquaporin annotation directly supports water transport/balance.
ion_water_balance,Ion / water balance,core_marker,keep_initial,medium,Waus8730.v1.chr14.g044450,HAK5,14,5,9.3193,high,Potassium transporter,High-evidence marker with top-five rank in at least one Wolffia Leiden cluster and interpretable annotation.,Strong ranked marker with interpretable annotation; keep for first-pass scoring unless manual review finds a problem.,,,0.0753663210136514,0.0734391916275712,keep,high,direct,,All-cell detection fraction 0.073; mean normalized expression 0.075. Use notebook plots to confirm cluster specificity.,HAK5 potassium transporter directly supports ion balance.
ion_water_balance,Ion / water balance,supporting_marker,supporting_review,medium,Waus8730.v1.chr1.g008530,-,9,6,35.5074,medium,plasma membrane ATPase,High- or medium-evidence marker within the top-eight ranks; useful as supporting evidence for this candidate program.,"Useful supporting marker, but should be checked manually before being treated as a core program marker.",,,1.392159445499181,0.6273908336340671,maybe,medium,partial,,All-cell detection fraction 0.627; mean normalized expression 1.392. Use notebook plots to confirm cluster specificity.,Plasma membrane ATPase supports ion gradients but is broad; use as supporting marker.
